cluster,original,original_path,duplicate,duplicate_path,affected_elements,original_size,duplicate_size,affected_annotations,original_size_no_annotations,duplicate_size_no_annotations,package_content_movements,relative_change_with_saturation,scenario,final_label
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,22273,nagy511$App4MC-Fork-Repository$plugins#org.eclipse.app4mc.amalthea.model.help#help-model#ecore#ecore.ecore,0,304,304,0,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,29966,nagy511$App4MC-Fork-Repository$plugins#org.eclipse.app4mc.amalthea.model#model-gen#ecore#ecore.ecore,0,304,304,0,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,27282,balazssimon$meta-cs$src#Test#MetaDslx.Bootstrap#Ecore.ecore,0,304,304,0,210,210,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,9863,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#invalidStartTag#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,14996,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#missingPipe#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,5821,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#nominal#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,13548,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#inLine#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,5077,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#missingExpression#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,8291,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#withElseif#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,11919,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#inLine#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,24738,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#invalidCondition#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,24057,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#withElse#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,17269,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#nominal#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,7085,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#withElseifElse#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,24053,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#invalidConditionInElseif#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,19623,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#nominal#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
